instagram_comments,offensive_language
Ridículo.,1
Lula livre,0
Eu não fui entrevistado! Mas estou muito confiante com essas mudanças graças a família Bolsonaro!🙏🏻🙏🏻 que Deus os guie nessa jornada!,0
"Abra um colégio militar em São Gabriel da Cachoeira, na cabeça do Cachorro!! Precisa muito!!!",0
"Canalha,bandido falando em recuperar um país que ele destruiu,e alguns idiotas gritando,deve estar bêbado já.....",1
Glória a Deus 🙏👏,0
💖🇧🇷📢🚩Parabens!!,0
Não tente puxar a sardinha pro prato da Dra Janaína ... 🤭,0
Essa dupla ❤️,0
"Daqui a pouco o povo brasileiro que vai migrar pra outros lugares, migração em massa. Com esse governo ridículo autoritário e idiota.",1
Demônio👊,1
Parabéns a ela e família amem bj é lindíssima,0
VC deveria ser o presidente!,0
Este homem é o CÃO em forma de serhumaninho 😂😂😂,1
Amei .,0
Linda demais!,0
"Esse home.e ridiculo... Se a lei e para todos, ela merece ser aplicada em um caso desse!!!",1
Que absurdo. É muita petulância desse presidiário.,1
"Achei foi pouco...pra essa Joice,os inimigos de Bolsonaro, Deus vai abater um por um e contra o Poder de Deus não há defesa!",1
Homem forte honesto competente Meu Orgulho do Bem Meu Maestro nosso Regente de luz com os meus 75 anos lhe digi6 Deus te Abençoe e Vai em frente...,0
Foi merecida! Inteligente e consciente! Foi autêntica! E feliz nas suas respostas! Sem dúvida fez a diferença!,0
Muito bem! 👏👏👏👏👏👏,0
Gênios 🙌🏼,0
"Tantas coisas importantes para resolver e ficam dando ênfase para uma menina, que francamente, não me diz NADA!!!!!",0
Luladrão teu lugar é na papuda,1
"Esse porra defeca pela boca, só atraí mídia negativa pro pai dele...deveria ir pros EUA e ficar lá por um bom tempo.",1
E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.,1
O quw se esperar destes seres das trevas !,1
"Vagabunda, roubou o Brasil agora tá com pena, vá se fuder",1
duas notas de 3,1
LADRA,1
"Continua a ser o canalha terrorista de sempreSe tivessem colocado esse molusco numa prisão comum, duvido que estaria tão o mesmo👹👹",1
Disse uma das maiores terroristas do Brasil.,1
Eles fazem perguntas capiciosas e ele cai feito.um.bebe..,0
Parabéns FAchin 👏👏👏,0
Oi,0
A grande falha do Bolsonario é não colocar freios nos filhos. Eles azedam o governo do pai,0
Estes filhos do Bolsonaro podiam ficar quietos ne? Ajudaria muito!,0
Pra frente Brasil ! Salve salve !,0
Meu deus isso é nojento,1
Quando não tem roubo melhora tudo,0
Bem merecido professor,0
Lindíssima 👏👏,0
Você é o presidente que eu gostaria de ter!,0
"Muitooo beeem , um juiz forte e seguro, fazendo a justiça valer a pena, parabéns.",0
"Eu apoio a Ministra Damares, ela me representa!",0
Parabéns! 👏👏👏👏,0
Boca escrota essa .,1
Que nojo desse homem!,1
Idiota !,1
Estamos perdidos,0
"Não cai nenhuma folha sem que Deus não queira, tudo esta nas mãos Dele, então a nossa arma é continuar orando pela a nossa nação, e deixar Ele agir.",0
Acabou de perder um voto,0
"@carla.zambelli eu gosto do seu trabalho e adimiro você, o melhor remédio ignore a Joicehasselmann, ela não merece perda de tempo com ela, já está acabada!!!",1
NAZISTA SAFADO FILHO DA PUTA! VAI DOUTRINAR CRIANÇA NA PUTA QUE TE PARIU,1
Dois grandes ❤️,0
Não consegue falar nada que presta esse cara. Nada! Senhor!,1
Maturidade e coragem👏👏👏👏👏👏,0
"Manuela doa seu salário pra mim, SUA COMUNISTA",1
Seu lindo❤️,0
"👏👏👏👏 amei ouvir as suas palavras Benedita, vc é nota mil",0
Meu presidente ❤️,0
Parabéns 🍾,0
"Diva, concordo com você sobre o concurso.",0
Essa menina sozinha ta fazendo mais que uma nação. 👏👏👏👏❤️,0
Haddad sempre!,0
E seu posicionamento sobre a Amazônia?,0
"Meu presidenteeeeeeeeee ! Socorro,não aguentamos mais.",0
"Incitando o ódio a guerra ,vandalismo😒",1
Professor vc sabe se apresenta diante os governantes mundiais Haddad presidente 2022 Lula livre já,0
Que nojo ver esse cachaceiro falar,1
Não PODEMOS desistir 🇧🇷😎,0
Meu presidente 😍😢,0
Cada vez você se complica mais ficando contra o Presidente. Sinal que é contra a recuperação do nosso País...Fico triste pois admirava você Joice...Agora vejo que me enganei...Mesmo assim seja feliz...,0
Fora Bozo Imbecil Idiota Nojento Calculista vai procurar tua turma de Doido...,1
"É o satanás , merece ser queimado no fogo do inferno",1
"DESISTIR JAMAIS, PRESIDENTE!",0
Essa passou na fila da beleza várias vezes 😍,0
Vieja idiota.,1
Dois inúteis só faltou o @cirogomes,1
Essa entrevista aqui é que vale a pena kkk @g9paes,0
Joice estou em conflito. Estou te desconhecendo.,0
Merda de babaca fala merda esse embcil,1
Cadê o Conselho Tutelar? O Juizado de menores?? Tanto o SS quanto a mãe estão cometendo crime.,1
Tá apaixonada? Vira o disco😂,0
A maioria dos otimistas somos nós 👏👏🇧🇷🇧🇷,0
Tá uma bagaceira esse país de merda🤮🤮🤮🤮🤮,1
"Esse rapaz só me recorda camarão, a merda tá na cabeça",1
Só pq falou a verdade......esta sendo sacrificado????? Pelo menos fica o alerta pra esquerda e traidores do Brasil,1
Deus no comando 🙏🙏🙏🙌,0
"Inaceitável! Esses fascista racistas estão tendo muito espaço. Cada vez que agem como agiu esse coronel, a quem eu jamais chamaria de vossa excelência, sem que haja qualquer punição ou consequencia, mais estimulados eles são para cometer seus desatinos. Eu o chamaria de vossa excrescência!",0
#bolsomerda,1
"Manu é simplesmente um ícone globalista, investe em cada nova manifestação internacional com a empolgação de uma jovem militante, apesar de já fazer parte daquilo que, no passado, dizia estar disposta a combater. Só não vê quem não quer.",0
"Iremos fazer nossa parte, trabalho que não pode faltar.ok",0
"O povo ODEIA vcs, bando de marginais",1
E ele vai ficar impune? Cassação pra esse ser desprezível!,1
Ri tanto e nem sei responder porque foi um piscar de olhos 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣👏👏👏,0
Quem é que vai julgar as fakes news ? Esse é o problema!,0
"Estou impressionada, ouvi um pequeno trecho da Hora do Brasil e parecia a imprensa esquerdista: só falaram mal do Presidente! Relataram as opiniões de vários políticos petistas, todos criticando imensamente tudo! Quem controla a imprensa oficial? É a Rede Globo, a Veja? Porque não diferiu em nada! Fiquei boquiaberta! Foi hoje!",0
"Eles são repugnantes Sujos,imundos e nojentos traidores da pátria 🇧🇷",1
Da uma passeada na rua do RS! Vai ser aclamado pelo povo gaúcho! 🤦‍♂️,0
Prostitutazinha da #globolixo vai se LASCAR,1
"CHEGA DE VITIMÍSMO, ELA TÁ SENDO USADA PELO SISTEMA, AS FALAS SÃO SEMPRE AS MESMAS KKK COISA DE ESQUERDA NÉ INFLADO SEMPRE ÓDIO... APESAR DE ALGUNS ERROS O HOME É FORTE MESMO, CONTINUA LEVANTANDO ALGUNS VERMES ATÉ LA DE FORA DO PAÍS...",1
@carla.zambelli SÓ DIGO UMA COISA... O BRASIL TÁ MUDANDO! TRAIRAGEM #NÃO COMBINA COM FIDELIDADE!,1
Será que o filho está fazendo isto pra prejudicar o pai,0
"Imundo, cadê o presidente de merda pra falar q tá errado?? Vai tomar no cu mano eu fico revoltada com vcs, com a sociedade q votou em bosta, em um saco de bosta",1
"Isso é caso de polícia, de FBI ,de CIA para esta vigarista ladra igual a DILMA e a CRISTINA KIRCHNER da ARGENTINA.CRIME ORGANIZADO.",1
"Joyce não terá uma vida apolítica longa, não podemos nos enganar mais com ela, é muito ganância por poder, os próprios colegas não confiaram nela.",1
Cuidado ao defender uma militante de esquerda. Ela se apegou a uma causa que nao tem soluçao. Há muito por tras da farça que ela se expõe.,1
Vitória para Cristina❤️❤️❤️,0
Os supremos calhordas NÃO irão impor sua vontade. Não deixaremos! 😎🇧🇷,1
"Infantil dê um jovem, nó Estado dó Rio de janeiro é piraliha no RS guria em MG muleque como em outras regiões qual maldade têm meste dialetos gramatical a ondem emcontraro agressão?...",1
Aplausos para está ministra! 👏👏👏,0
Penso assim e to feliz pelo mesmo motivo. @giolaurenti tu lembra que falamos isso uma vez sobre o Mister?,0
Não entendi? A Joyce já caiu? Durou só 24 horas líder?🤔🤔🤔🤔🤔🤔🤔,0
Não sei como esse cara nao foi preso ainda,1
Vagabunda,1
Fdp,1
#globolixo passando vergonha mais uma vez.,1
Bando de FDP 💩💩💩💩💩,1
Só pensando no chilique dos sulistas facistas que lá são maioria. 😂👏👏,0
Parabéns!!!!!,0
"Joice está com mania de grandeza, só que dá pior espécie, ela, pra mim foi uma DECEPÇÃO GRANDE! Ela traiu e dividiu !",1
"Espera aí a comemoração é sobre a invasão da Polônia, estão comemorando todo o genocídio que foi a invasão e tbm a segunda guera ????",0
Esses aí são cachorro morto que ainda morde...precisamos ter td cuidado com o que vem do capiroto,1
Vc merece isso e muito mais!!!❤️,0
"pois é, né? O dinheiro da OAS fez com que ela esquecesse de ter pena do Brasil. Muito cínica.",1
Que orgulho de ter votado em Fernando Haddad em 2018. Um dia direi isso ao meu neto.,0
Tá ligada que se vc continuar assim não vai ser eleita novamente nem para síndica do teu prédio neh....,1
Oba! 😍 👏👏👏,0
"Parabéns para essa menina linda👏👏👏👏 tudo o que ela disse é verdade. Infelizmente é tudo por dinheiro, o maldito dinheiro. O desrespeito com a natureza, seus ecossistemas, tá na hora de cuidarmos e protejer a mãe terra!!!! Acordem, não vamos comer dinheiro, é preciso preservar a nossa Amazônia, nossos índios, nossos animais inocentes!!!! Dinheiro não é tudoooooo.😭😭😭😭",0
Racismo é crime inafiançável. Tem que tirar o mandato desse canalha.,1
Porque essa pirralha não bate de frente com o presidente MACARRÃO da França??,1
Lindo perfeito dono do Brasil a,0
A esquerda precisa ser criminalizada no Brasil... São demônios! 🤮,1
Amo você e sua família. Parabéns,0
"Menininha sororizada, está ainda nas fraldas, Joyce sabe bem onde os caminhos que trilhamos nos levam. Acho desnecessário tanto ódio e caretas no discurso dessa mocinha.",1
Lindoooo,0
Que nojo #impeachmentbolsonarojá #Impeachmentbolsonaro #forabolsonaro,1
Ela ganhou e vai continuar objetificada... Preguiça desses discursos 😔,0
"Gosto de ouvir o Alexandre Garcia falar, tudo que sei aprendi muito com ele kaka",0
Velho asqueroso 🤮,1
"Só tem lixo! Narizinho, marido do Verdevaldo, etc...🤢🤮🤮🤮",1
Pilantra,1
Que asco,1
Lindoo😍.,0
Vdd.,0
"Pirralha 😂😂😂 não sabe de nada, e essas postagens dela são assessoradas por pessoas que estão patrocinando essa pirralha. Ela não sabe nem onde fica o Brasil. Pelo amor Deus! 😂😂😂",1
"Falei e falo sempre, já passou da hora de dar um pau nesses esquerdistas.",1
Ela deveria dizer. TÔ PREOCUPADA COM A LAVA JATO DO BRASIL NA MINHA COLA,0
"Meu presidente. Me responda só uma pergunta, essa condenação que lhe impuseram, vc já conseguiu provar que é perseguição ou ainda rola...",0
Se fodeu,1
Cara nojento,1
Nossa mostre sua compaixão devolvendo o dinheiro que recebeu do MOLUSCO,1
A foto que eu precisava e não sabia ❤️,0
Quem quer saber a opinião dela?,1
Ridiculo,1
Muito maravilhosa😍,0
"Tem que prender os congressistas que saquearam o país e se escondem atrás das leis que os beneficiam, isso sim",1
FORCA benedita!nao deixe passar em branco esse absurdo !coronel ou nao isso e crime!,0
Velho babão só fala as negras.,1
Que baita dupla!! 😍😍,0
"#congressocontraopovo, 🤬🤮tudo dentro do costume da Casa do Povo!🤮🤬 #congressoVERGONHA",1
Racismo ditadura nunca mais,0
Tem q aprender a roubar com vcs do pt... vcs são mestres,1
Puta que pariu,1
👏👏😍 tu é o cara! Te amo professor lindão!!! 💙,0
"Gente, na moral, Foda-se as asneiras que esse débil fala. Vamos parar de dar Ibope",1
Assustador. Demoníaco.,1
Vamos continuar lutando,0
"@joicehasselmannoficial, tem um monte de homem solto ppr ai, e vc querendo pegar um casado? Vc não vale nada...tome tento mulher...deixe essa putaria e vá lavar uma trouxa de roupa que esse fogo passa...",1
"Vagabunda,Ordinária",1
Verdade mesmo 👏,0
globo lixo não cansa de passar vergonha,1
"Não imaginava que às vésperas do Dia da Consciência Negra fosse ver uma deputada precisando ser tão combativa para enfrentar o racismo. Toda solidariedade. E Maia, reponha o quadro! Não tem essa de talvez seja uma mensagem injusta, generaliza a polícia. Não me venha com essa de generalização da polícia num país onde a polícia mata a juventude negra todo dia. O genocídio é generalizado. Parem de acobertar militares!",0
"Daqui a 50 anos haverá (ou não) outra(o) jovem discursando, e chorando, e brigando novamente. Nada muda! Como vi uma vez em um filme: Ninguém se importa. Vários dirão aqui embaixo SIM, EU ME IMPORTO! Mas não, nos importamos em dar like e compartilhar, e após isso voltamos ao normal...",0
"É importante também contextualizarmos a fala do Feliciano. Não sou fã dele como pessoa mas entendo que essa fala pode estar relacionada à posição de Randolfe quanto aos acontecimentos na operação lava jato, onde ele se posicionou contra o ministro Sérgio Moro e compartilhou em suas redes sociais, mensagens que desqualificavam o ministro que, ao meu ver, é um dos responsáveis por colocar o Brasil no caminho certo na luta contra a corrupção.",0
Parabéns deputada a luta contra todo tipo de preconceito é válido e contante pessoas como esse deputado tem muitos travestidos de democrata e não racista e muito menos preconceituoso,0
Amo você! Meu Presidente! ❤️,0
@bolsonarosp não perco por nada! 🔥,0
"Um falando asneira de lá e o outro disseminando discórdia de cá. Tudo farinha só mesmo saco, se gritar :Pega ladrão, não fica um meu irmão.",1
Como um país deste anda pra frente?Ontem era Bolsonaro hoje é inimiga e detesta o cara ...que falsidade .,1
Que menina me emociono com uma jovem tão nobre e me encho de esperança ao saber que a eterna luta do bem continuará,0
Geração salva🙏,0
"A gente recuperar esse país ele quer dizer a corja Ptralha né? vão abrir as portas da cadeia pra tirar os outros ?e arquivar processos e investigações sobre os q estão soltos?inocente ou BURRO vc hein Lula ,acha que o cidadão de bem vai aceitar VCs de volta no poder ???#ptnunca #LULAFICHASUJA #STFVERGONHANACIONAL #nojo de quem idolatra BANDIDO",1
Essa mulher negra me representa parabéns Benedita . O Racismo é uma coisa Orivél infelizmente esse país é um país racista . Quem não é negro de pele e um negro branco ou seja tem sangue negro.,0
"Bla bla bla, não me convenceu 💩",1
Damares vc é o exemplo de pessoa e vida 👏👏👏 ém,0
Parabéns mestre,0
Que imbecil.,1
Só resta aceitar Sr Caga pela boca.,1
Estão vendo isso não kkkkk,0
"A esquerda além de tudo, é invejosa!🤣",1
"O que ele fala sempre tem interpretações diferentes ,pelo amor que o povo tem pelo pai ,deveria mesmo ficar. Calado ,e falar o mínimo possível .",0
"Ele não está caduco, não! Ele sempre foi nojento!",1
Viva a imortalidade!,0
@leilaneneubarth para de disseminar lixo... parece q passar vergonha p vc se tornou rotina🤪🤪🤪,1
"Sem comentários!!!!! Fez .... e continua fazendo, melhor dizendo ......",0
Amigaaaa vc arrasa @morgadoisa,0
PARABÉNS DEPUTADA,0
Parabéns 👏👏👏👏👏👏👏👏,0
"Por favor processe este escroto,energúmeno,mente capto,imundo,porco,em nome de todas as mulheres do Brasil,processe!",1
"Deus da misericórdia, livrai-nos desse mal!!! Eu não mereço nem ouvir a voz dele. Senhor tende piedade de nós!!!O cara enlouqueceu, a sede de poder dele, já matou muita gente!!!",1
@fernandohaddadoficial um dos nossos poucos guardiões ❤️,0
"Kkkk... Piada né? A atitude é legal, MAS o congresso criou essa lei pra se proteger e roubarem em paz e por sua vez vem o STF que protege corruptos e criminal de colarinho branco.",1
#BeneditaDaSilva,0
"Parabéns, Prof. Fernando. Parabéns às educadoras e aos educadores do Brasil, incansáveis no ofício de ensinar.",0
Atitude intolerável! Cadeia para esse deputado estúpido e imbecil! #forapsllixo,1
"Nesse quesito, os filhos de militares saem na frente! Pois tem vaga garantida!",0
Vc agora e da canhota,0
Atentos e vigilantes para impedir que esta criatura parida pelo diabo tenha voz.,1
Pedófilo. Era a pergunta que você fazia para suas filhas na hora de dormir?,1
"Salve, Ricardo Coutinho! O melhor governador da história da Paraíba!!!",0
Charlatão..🤮,1
"É um fascista, escravocrata, manipulador e doente. Era para está presso!!!!",1
"Ele nao viveu o,AI-5...",0
"Este é meu futuro , presidente em 2022, eu creio.🇧🇷 Melhor para todos.",0
"Que texto baixo, enojante. Esse pessoal da esquerda tá cada vez pior...",1
"Dra Janaína sou seu fã, é verdade ou ilação o comentário do filho do Presidente, se vocês não falam e nem alertam? Alguém tem que ter coragem para falar o óbvio.😎",0
A Joice já falou em vídeo sobre intervenção ta falando ok agora.essa .,0
Q Coiso mais imunda!!!!,1
Qual nome do Filme?,0
POIS É DEVERIA DEVOLVER O DINHEIRO AOS COFRES PÚBLICOS DO Brasil.,1
"#somostodasdamares mulher inteligente e guerreira,Ela me representa! Te amo em Jesus minha Ministra😍😍👏👏👏",0
4 anos,0
Haddad quero vê a faixa presidencial no seu peito,0
Lula vagabundo e bandido !!!,1
Menina enjoada,1
#Forafeliciano e sua tropa virtual.🏴,1
A grande mídia esconde a verdadeira Greta,0
preciso assistir 🖤,0
"Ele podia perder a voz, né? Afff..",1
Minha solidariedade a essa mulher guerreira que me representa como cidadão! #cartacapitallixo,0
Nojento 🤮,1
"Que credibilidade tem? Não sabe nem se informar do assunto, resultado passando vergonha! #globolixo",1
Todo sofrimento pra corno é pouco,1
Fdup,1
Ai quem me dera,0
Velho asqueroso!!!,1
Homenagem merecida!!👏🏻👏🏻,0
Têm quê pegar 100 anos,1
Merece! Saudações gaúchas!✊🏻❤️,0
"Tem que ter em todas escolas de Brasília , principalmente as mais carentes isso sim ,",0
Lula na presidência da republica,0
Ao contrário daqui o povo argentino acordou!,0
Pensado bem... saímos no lucro!! Não vai ter cadeia suficiente para tantos esquerdistas fanáticos. 😂😂😂🇧🇷🇧🇷,1
Os militontos são doentes e não cansam de compartilhar Fake News e passarem vergonha,1
Vc NÃO ganha mais eleição nem pra síndica de predio Joice.,0
O povo não é mais burro. Você não está ouvindo seus eleitores.,0
Super concordo,0
"As perguntas já são induzidas. Tentando obter somente respostas que queimem o governo, mesmo assim não conseguiu, além dessa reporte q é ruuuim pra caramba...😂😂",1
pirralha do ano kkk,1
Essa ja fez parte da quadrilha,1
Dois lindos!!!,0
Esse bosta tem q voltar pra cadeia já!,1
Engraçado @manueladavila quando sua cara apareceu no fantástico você sumiu e bloqueou os comentários nas suas redes sociais. Você é manipuladora!,1
Nojentos 🤮🤮🤮🤮,1
"Eu não confio em nenhum desses ministros, não consigo mais, só de olhar eu 🤢",0
Parabéns a todos os trabalhadores envolvidos!,0
👏👏👏👏👏👏👏👏muito feio e constrangedor ...para que essa violência ?,0
Tá explicado! Traíras do Brasil! Tá no DNA 💩🤮,1
VIVA BENÊ!!!,0
Isso não tem preço,0
Como elegeram esse senhor??🤮🤮🤮,0
Bandido nojento!,1
Todos um lixo !,1
"Postagem ridícula Carla, vai trabalhar",1
Bandido!! 👹 Deus nós livre desse capeta em carne e osso.,1
ele é louco mesmo,1
"Eu acho, que o filho do presidente , é seu maior impecilio , o presidente perde muito tempo tentando explicar as burrice filho errrr.",1
Você merece👏,0
Desgraçado este Luladrão..mas aqui não é o Chile..e a maioria do povo é BOLSONARO,1
a hipocrisia e uma coisa terrivel que faço questao de jogar na cara dos esquerdopatas q atacam a ministra,1
Terrivelmente evangélico,1
NA LATA DESSA JORNALISTA IDIOTA,1
"Quando ouvimos uma sujeita dessas 💩 falando assim é sinal que estamos no caminho certo. Ela gostava do Brasil quando recebia mesada, dinheiro fruto de roubo.",1
Imagine se esse sujeito não fosse cristão evangélico?,1
O povo precisa acorda!,0
Porque é LADRA!!,1
Foda-se.,1
Ele apenas falou a verdade. É uma pirralha mesmo.,1
Pastor do inferno,1
Adoro!!!👍😍💋❤👏,0
"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",1
Que exemplo !👏👏👏,0
Tomei nojo!,1
Meu presidente ❤️,0
Grande Eduardo!👏👏👏,0
Inacreditável,0
Esse povo de esquerda é asqueroso e corruptos,1
Mimimimimimi PT mimimimimimi PT mimimimimimi,1
Vocês me representam. ❤️,0
Fernando Haddad grande liderança que surge com muita força em nosso país Haddad intelectualmente mais preparado e também moralmente,0
Verdade temos a pergunta.,0
Só governa pra EMPRESÁRIOS e e BANCOS,0
Lindooos ❤️ Por dentro e por fora.,0
"Eles vão apanhar nas Ruas, Dirceu.",0
Afinal das contas de que lado a senhora Janaína Pascoal está?,0
LIXO,1
Candidato a embaixador comemorando o massacre que a Alemanha nazista fez quando invadiu a Polônia.,0
Difícil saber quem é mais escroto,1
À imprensa podre elegeu .. pq é uma pirralha doutrinada .. parece até uma pessoa doente .. coitada .. usam a criatura .. as falas são devoradas .. lamentável 🤮,1
Tem que retribuir aí ataque mesmo @carla.zambelli .Estamos com vc.,0
"Genial, adoro o Duvivier",0
Que nojoo...que emissora lixoo!!!,1
Que nojento.....,1
@carla.zambelli por que você não se desliga do PSL já que os ânimos estão a flor da pele por lá,0
Que discurso!👏👏 Sorte nossa ter vcs nos representando diante desse caos todo,0
"Vamos fazer assim, @jairmessiasbolsonaro e @gleisihoffmann - cada um coloca suas observações aqui.",0
@alice.lavigne.3388 NOJO! por isso prefiro assistir o fantástico aos fins de domingo. Porque contém informações e conteúdos!,1
"Difícil acreditar que alguém que se diz humano, repórter, tenha tido a coragem de dizer essas coisas.",0
Perfeita! Seja firme e forte minha querida. Pq muitos são fracos e inertes diante de um absurdo. 👏💗,0
Ridículo essa menina,1
Porque sera que ela diz ter pena? Se analisar bem isso pode ser visto como uma ameaça.,0
Nasce um MITO 💜,0
"@dtgularte não sei nem o que dizer, apenas sentir",0
Tudo farinha do mesmo saco.Nao importa o tempo é sim a traição.,1
Que porra é esta doido! Puta que pariu doido!!!,1
"Fico me perguntando o quê de grave, como perdas de garantias individuais e coletivas e à soberania, estarão ocultando os parlamentares ao repercutirem com grande ênfase nas redes Sociais a atitude racistas do coronel deputado. #PL2418não",0
Esperando essa vitória!!✊🏻,0
Ela é uma piada pronta!! 😂😂😂😂,1
"As mulheres te respeitam Damaris! Continue firme com seus propósitos, não permite que um cafajeste, um troglodita te faça sentir mal!",1
Benedita não se altere porque esse ato cometido foi por gente que tem alma escura !,0
Quem financia tanto ódio é o presidente e sua corja!,1
Inconcebível! Asco!,1
@joicehasselmannoficial você não engana ninguém 🤮🤮💩💩💩💩,1
Essa mulher me representa!👏👏👏👏,0
E já estão armando mas.... Deus proteja!!! 👏👏,0
Tudo mentira,0
Glória a Deus 👏👏👏👏👏👏👏,0
Por que você e a Janaína se calaram quando escutam o Lindbergh farias fazendo menção a desordem civil e quando a Gleisi fala que pessoas serão mortas ao tentarem prender o Lula?,0
Coitado!,1
"Esses sim, lutam pelos mais necessitados! 👏👏👏👏👏👏👏👏👏👏👏👏",0
"Vão continuar apoiando esse Bolsomerda, bando de trouxas?",1
Bando de covardes miserável traidores da pátria,1
😂😂😂😂😂que mandou votar nele agora toma ai,0
Ou quando o Brasil estava sendo saqueado pelo PT? ?,1
"Essa garota precisa de tratamento, e é triste ver uma menina desperdiçando tempo e dinheiro de quem banca isso, com discursos vazios e de ódio, gerando simpatia apenas para militantes de esquerda a oportunistas....",1
Os dois juntos... 💚❤️,0
"Realmente, uma verdadeira hipócrita!",1
O amor da minha vida! ♥️,0
"Tenho engulhos desse covarde,canalha que escreveu isso sobre essa Ministra tão querida e Amanda!ele devia ser entregue a nós mulheres, nós íamos fazer uma massagem daquelas nele😂💪",1
Vc e Greta podia fazer uma dupla safaneja( Greta e Ingragrata) com a musica de lançamento Burrici pouca é bobagem,1
Lula Livre sim ja ok,0
CHEGA DE TANTA CORRUPÇÃO TANTA ROUBALHEIRA TANTA INCOMPETÊNCIA TANTA MALDADE TANTA FALSIDADE,1
Haddad vai pegar prisão perpétua,1
Carta capital é super esquerdista comunista do mal.Somos todos Damares!!!!!!!,1
"Lute por nós, pelo nosso país Haddad ❤️🙌👏",0
A roliça rebelde 😂😂😂😂😂,1
O BRASIL ESTÁ COM BOLSONARO. VAI PARA A VENEZUELA. LIXO.,1
E um viva à esquerdalha!!!!!!,1
Parabéns,0
Lula está em todos os rolos...já nasceu safado,1
"Fortalece porra nenhuma , já foi , já passou , muito Mimimi",1
"Isso aí sim e postura de criança em ensino 👏🏻👏🏻 Não aquela lacracao de criança usando shortinho dançando funk ameaçando professor em sala de aula , como a esquerda incentivou os últimos 15 anos . #BolsonaroNeles 😎👉🏻👉🏻",1
Débil. ..,1
Na terra em que essa mulher africana é bonita as trans são mulheres. Surrealismo clássico.,1
Não suporto mais tantas asneiras e imbecilidade desse estúpido. Acorda Brasil do sono da ignorância Ninguém solta a mão de ninguém. #LULAÉINOCENTE #LULALIVREJÁ #CADÊAPROVA? #EusouLula Recife PE Lula foi e sempre será o melhor e honesto presidente do Brasil e único Presidente que fez pelo povo Brasileiro o que nenhum outro presidente quiz fazer e pelo Brasil. Ninguém solta a mão de ninguém.,1
Guarde sua pena ...nos da ânsia de vômito,1
💩💩💩💩 É isso que essa louca fala!🖕🖕,1
LULA LIIVE JÁ!,0
Isso não pode acontecer,0
amém. ...que a justiça continue trabalhando,0
Os filhos do nosso Presidente poderiam calar à boca!!!,1
"Ministra mais que querida. Que o Bom Deus lhe conceda paciência e energia para seguir nessa luta luminosa, q é o seu trabalho pelas criaturas fragilizadas dessa nação. O mal grassa por aí pq ainda somos seres em ascensão, nessa difícil jornada chamada vida. E os q permanecem na retaguarda por vontade ou preguiça, não suportam vislumbrar a vitória e a luz dos que seguem na frente, e q, humildemente, carregam a chama do amor incondicional q iumina os bons e os últimos. Gratidão é a palavra que define nosso sentimento pela senhora e por sus obras.",0
Quem quer saber oq vc pensa comunista corrupta vc deveria estar na cadeia !,1
Parabéns futuro presidente!,0
"Nosso carater, não igualar como os esquerdistas fazem, mais mostrar q somos um povo sivilizado, pronto para ajudar nosso presidente Jair Bolsonaro, Feliz natal a todos!",1
O Bolsonaro libertou os demônios que estavam escondidos.,0
@helioperdiz Disso vc deve entender!!!,0
Será que esse homem é de Deus? Mesmo? 🙄,0
Eu sou PT. Fora louco Bolsonaro,1
Quem mais disseminou fake news foi o ptfake.😎,1
Assim cm o Brasil se tornara uma Venezuela? Por que o metodo de governo ja se parece bastante. Ambos ditadores que oprimem adversarios e os dois presidentes acham que as cabecinhas deles so tem ideias geniais. Mas em ambas so tem merda.,1
GloboLixo 🔥🔥🔥,1
Claramente uma pessoa com Deus no coração,0
"E o que você tá fazendo não fortalece, né,",0
"Parabéns professor, sucessos",0
@joicehasselmannoficial cada vez mais desacreditada. Mais falsa que 3 reais,1
Lula livre para o bem da nação,0
Temos que votar em presidente e também deputados e senadores a favor do presidente,0
"Vá ter pena da puta que a pariu, corrupta",1
Escrito!,0
Lixo esses petzadas mais não adianta o Brasil e nosso,1
Aproveite seu primeiro e último mandato 👍👍👍,0
PARABÉNS HADDAD!,0
"Pelo visto a justiça vai se ferrar com o volume de processos, as prisões vão entupir de gente. Tem que começar a prender o pessoal da Globo, folga, Uol, o globo, etc. Em dois tempos eles vão pressionar por mudanças.",1
E TEM CEGO QUE NÃO VÊ QUE PURA ARMAÇÃO DESSES GOLPISTAS CANALHAS.,1
Eitaaaaa! Isso sim é notícia boa! Gente boa!!!!,0
"Essa menina é sensacional... quanta emoção, quanta garra! E ela falou tudo...",0
#ForaRacista!,0
"Deus nós acuda, este Lula só incentiva o que é ruim, que homem nojento",1
O texto não é bem assim. Deputado Hélio Lopes se manifestou.,0
A mesma corja de sempre!!! Dá nojo!!,1
Os paraibanos tem muito orgulho de você Ricardo Coutinho,0
Eu entendi bem? Um pastor pede pra outro pastor levantar um grupo de pessoas e espancar ele no Twitter???? Q tipo de Deus esses caras seguem?? Q tipo de religião eles pregam???,0
Mas alguns ainda insistem em não ver o óbvio.,0
Damares será exemplo para muitos!!!!,0
Ridículo,1
Postura 🇧🇷❤️,0
